,Team,MatchID,Split No.,Period,Delta Time,Split Reason,Splitting Team,Delta xG,Weakly Connected,Strongly Connected,Average Shortest Path,Radius,Diameter,Eccentricity Mean,Central Node,Average Eigenvector Centrality,Density,Mean Clustering
47,Borussia Dortmund,18240,1,2,22,break,Bayern Munich,0.856982736,True,True,1.5909090909090908,2,3,2.3636363636363638,Mats Hummels,0.28514669751139676,0.44545454545454544,0.5148047654735809
48,Borussia Dortmund,18240,2,2,26,goal,Bayern Munich,0.159306064,True,True,2.1346153846153846,2,4,3.3846153846153846,Roman Weidenfeller,0.24252380154192033,0.2564102564102564,0.32291955202819916
49,Bayern Munich,18240,0,1,45,game start,,0.8886058990000001,True,True,1.2818181818181817,1,2,1.8181818181818181,Bastian Schweinsteiger,0.2979874727082658,0.7181818181818181,0.7347329584538866
50,Bayern Munich,18240,1,2,21,break,Bayern Munich,1.199652214,True,True,1.5909090909090908,2,3,2.272727272727273,Arjen Robben,0.2882611550559576,0.4727272727272727,0.4222074029531719
51,Bayern Munich,18240,2,2,27,goal,Bayern Munich,0.914558776,True,False,1.4318181818181819,Error,Error,Error,Error,0.23117277528050345,0.3560606060606061,0.4093255998984497
52,Bayern Munich,18237,0,1,45,game start,,0.936912151,True,True,1.2727272727272727,1,2,1.9090909090909092,Bastian Schweinsteiger,0.29703337435668864,0.7272727272727273,0.7779915178424126
53,Bayern Munich,18237,1,2,27,break,Chelsea,0.516359581,True,True,1.5,1,2,1.9090909090909092,Bastian Schweinsteiger,0.277233270103705,0.5,0.7152332479050882
54,Bayern Munich,18237,2,2,17,sub,Chelsea,0.545765605,True,False,1.7803030303030303,Error,Error,Error,Error,0.23892978578196777,0.3181818181818182,0.43469645511424937
55,Bayern Munich,18237,3,3,30,break,Chelsea,1.4399125410000002,True,True,1.6818181818181819,2,3,2.4166666666666665,Anatoliy Tymoshchuk,0.2645826509848227,0.4318181818181818,0.5347660949248259
56,Chelsea,18237,0,1,46,game start,,0.08311545000000001,True,True,1.3545454545454545,2,2,2,Ashley Cole,0.29714244727778755,0.6454545454545455,0.6939125925502084
57,Chelsea,18237,1,2,27,break,Chelsea,0.032809219,True,True,1.4363636363636363,2,3,2.090909090909091,Ashley Cole,0.29177278830390185,0.5727272727272728,0.60670953070952
58,Chelsea,18237,2,2,21,sub,Chelsea,0.114109875,True,True,1.8257575757575757,2,3,2.75,John Michael Nchekwube Obinna,0.26672185656642816,0.3333333333333333,0.4289056271131385
