,Team,MatchID,Split No.,Period,Delta Time,Delta xG,Weakly Connected,Strongly Connected,Average Shortest Path,Radius,Diameter,Eccentricity Mean,Central Node,Average Eigenvector Centrality,Density,Mean Clustering
66,Manchester United,18236,2,2,23,0.0,Error,Error,1.5818181818181818,2,3,2.272727272727273,Edwin van der Sar,0.28966973148477054,0.45454545454545453,0.6402597402597402
67,Manchester United,18236,3,2,25,0.10248668799999999,Error,Error,1.3333333333333333,1,2,1.9166666666666667,Wayne Mark Rooney,0.2838710641007429,0.6666666666666666,0.706415343915344
68,Bayern Munich,18235,0,1,45,0.4304467919999999,Error,Error,1.2,1,2,1.8181818181818181,Bastian Schweinsteiger,0.29866793717458634,0.8,0.8308802308802309
69,Bayern Munich,18235,1,2,17,0.41900425700000005,Error,Error,1.4363636363636363,2,3,2.272727272727273,Arjen Robben,0.2879762955063873,0.6,0.7594516594516595
70,Bayern Munich,18235,2,2,31,0.474594871,Error,Error,1.3272727272727274,1,2,1.9090909090909092,Bastian Schweinsteiger,0.29320113108563817,0.6727272727272727,0.7843434343434343
71,Inter Milan,18235,0,1,46,0.723685665,Error,Error,1.290909090909091,2,2,2,Cristian Eugen Chivu,0.29803284815491426,0.7090909090909091,0.694011544011544
72,Inter Milan,18235,1,2,16,0.191472039,Error,Error,1.6727272727272726,2,3,2.5454545454545454,Goran Pandev,0.29330025022698397,0.38181818181818183,0.35757575757575755
73,Inter Milan,18235,2,2,31,0.25304130199999997,Error,Error,2.128205128205128,3,5,3.8461538461538463,Wesley Sneijder,0.2380363024445757,0.3076923076923077,0.5274725274725275
74,Barcelona,3750201,0,1,46,0.186639832,Error,Error,1.1818181818181819,1,2,1.8181818181818181,Andrés Iniesta Luján,0.29793820173635777,0.8181818181818182,0.8626262626262626
75,Barcelona,3750201,1,2,20,0.307922275,Error,Error,1.3272727272727274,2,2,2,Andrés Iniesta Luján,0.29256374181927297,0.6727272727272727,0.777056277056277
76,Barcelona,3750201,2,2,27,0.796873438,Error,Error,1.3818181818181818,2,2,2,Andrés Iniesta Luján,0.29403354864998815,0.6181818181818182,0.7043290043290044
77,Manchester United,3750201,0,1,45,0.41044105799999997,Error,Error,1.2181818181818183,1,2,1.9090909090909092,Nemanja Vidić,0.2978977069772756,0.7818181818181819,0.7940836940836941
78,Manchester United,3750201,1,2,20,0.0,Error,Error,1.3272727272727274,2,2,2,Carlos Alberto Tevez,0.29493577962073686,0.6727272727272727,0.6957431457431459
79,Manchester United,3750201,2,2,28,0.621461286,Error,Error,1.3484848484848484,2,3,2.1666666666666665,Carlos Alberto Tevez,0.2764762427457008,0.6666666666666666,0.7186507936507938
80,AC Milan,3750200,0,1,46,0.36607321600000003,Error,Error,1.2545454545454546,2,2,2,Alessandro Nesta,0.29674378231118753,0.7454545454545455,0.7480519480519482
81,AC Milan,3750200,1,2,47,0.49064317700000004,Error,Error,1.3717948717948718,1,2,1.9230769230769231,Andrea Pirlo,0.2698996462072113,0.6282051282051282,0.7382506382506383
82,Liverpool,3750200,0,1,45,0.29256782,Error,Error,1.2363636363636363,1,2,1.9090909090909092,Xabier Alonso Olano,0.2955926637510236,0.7636363636363637,0.7898268398268397
83,Liverpool,3750200,1,2,47,0.6657027645,Error,Error,1.3626373626373627,2,2,2,Boudewijn Zenden,0.2586171373946709,0.6373626373626373,0.6642650999793858
84,AC Milan,2302764,0,1,22,0.199345688,Error,Error,1.3555555555555556,1,2,1.9,Andrea Pirlo,0.305811944197879,0.6444444444444445,0.8003174603174603
85,AC Milan,2302764,1,1,23,1.0532538900000001,Error,Error,1.3454545454545455,2,2,2,Alessandro Nesta,0.29228471927312694,0.6545454545454545,0.7786435786435788
86,AC Milan,2302764,2,2,45,1.057847663,Error,Error,1.4230769230769231,2,2,2,Alessandro Nesta,0.2598293744184229,0.5769230769230769,0.8474469974469974
87,AC Milan,2302764,3,3,15,0.082578052,Error,Error,1.4363636363636363,2,2,2,Alessandro Nesta,0.2905854672610352,0.5636363636363636,0.7327561327561327
88,AC Milan,2302764,4,4,21,3.76122419,Error,Error,1.5303030303030303,2,3,2.25,Alessandro Nesta,0.27358945657030465,0.5,0.6878968253968254
89,Liverpool,2302764,0,1,22,0.045281665,Error,Error,1.3636363636363635,2,2,2,Djimi Traoré,0.2948776009445455,0.6363636363636364,0.6626984126984127
90,Liverpool,2302764,1,1,24,0.149583819,Error,Error,1.3272727272727274,2,2,2,Djimi Traoré,0.2937424438035275,0.6727272727272727,0.7233044733044733
91,Liverpool,2302764,2,2,46,1.570483734,Error,Error,1.290909090909091,2,2,2,Dietmar Hamann,0.2931605219554853,0.7090909090909091,0.7709956709956708
92,Liverpool,2302764,3,3,16,0.0,Error,Error,1.709090909090909,2,3,2.5454545454545454,Dietmar Hamann,0.2812168405877388,0.38181818181818183,0.5898268398268399
93,Liverpool,2302764,4,4,21,3.096828907,Error,Error,1.511111111111111,2,3,2.4,Dietmar Hamann,0.302514766167013,0.5555555555555556,0.754047619047619
94,AS Monaco,3752619,0,1,23,0.030981608,Error,Error,1.4,2,2,2,Andreas Vasilios Zikos,0.2960624646194818,0.6,0.5281385281385281
95,AS Monaco,3752619,1,1,23,0.0,Error,Error,1.3272727272727274,2,2,2,Andreas Vasilios Zikos,0.2967489902896964,0.6727272727272727,0.6847763347763348
96,AS Monaco,3752619,2,2,18,0.148155554,Error,Error,1.290909090909091,1,2,1.9090909090909092,Lucas Bernardi,0.2954230494763254,0.7090909090909091,0.7715728715728716
97,AS Monaco,3752619,3,2,30,0.348910628,Error,Error,1.2727272727272727,2,2,2,Andreas Vasilios Zikos,0.2831254450772327,0.7272727272727273,0.7802910052910051
98,FC Porto,3752619,0,1,22,0.010999546,Error,Error,1.2363636363636363,1,2,1.8181818181818181,Nuno Jorge Pereira Silva Valente,0.29786773539012945,0.7636363636363637,0.7986291486291488
99,FC Porto,3752619,1,1,22,0.086325325,Error,Error,1.511111111111111,1,2,1.9,Paulo Renato Rebocho Ferreira,0.30042948526166324,0.4888888888888889,0.7761111111111112
100,FC Porto,3752619,2,2,17,0.0,Error,Error,1.5272727272727273,2,3,2.1818181818181817,Anderson Luís de Souza,0.2892285948173793,0.4909090909090909,0.5085858585858585
101,FC Porto,3752619,3,2,30,0.5520139799999999,Error,Error,1.6025641025641026,2,3,2.3846153846153846,Dmitriy Alenichev,0.2673387459201372,0.44871794871794873,0.5331501831501831
