,Team,MatchID,Split No.,Delta Time,Weakly Connected,Strongly Connected,Average Shortest Path,Radius,Diameter,Eccentricity Mean,Central Node,Average Eigenvector Centrality,Density,Mean Clustering
70,Real Madrid,18241,5,12,Error,Error,1.6454545454545455,2,3,2.5454545454545454,Luka Modrić,0.2836388076513161,0.42727272727272725,0.540210337332151
71,Real Madrid,18241,6,14,Error,Error,1.3777777777777778,Error,Error,Error,Error,0.2920415334054067,0.45555555555555555,0.5056092739403273
72,Real Madrid,18241,7,0,Error,Error,1.0,1,1,1,Marcelo Vieira da Silva Júnior,0.7071067811865476,1.0,0
73,Real Madrid,18241,8,16,Error,Error,1.5555555555555556,2,3,2.2,Cristiano Ronaldo dos Santos Aveiro,0.30952583457039456,0.4888888888888889,0.549442794263583
74,Real Madrid,18241,9,11,Error,Error,1.7636363636363637,Error,Error,Error,Error,0.2604078442895521,0.2818181818181818,0.2957366957947453
75,Real Madrid,18241,10,0,Error,Error,Error,Error,Error,Error,Error,Error,0.0,Error
76,Atlético Madrid,18241,0,8,Error,Error,1.5,Error,Error,Error,Error,0.2812577947836919,0.26785714285714285,0.3476190476190476
77,Atlético Madrid,18241,1,26,Error,Error,1.6,2,3,2.3636363636363638,Filipe Luís Kasmirski,0.2815087207877881,0.4727272727272727,0.5306187186260763
78,Atlético Madrid,18241,2,8,Error,Error,1.9861111111111112,Error,Error,Error,Error,0.2974768013882164,0.2638888888888889,0.3114774114774115
79,Atlético Madrid,18241,3,12,Error,Error,1.8333333333333333,2,4,3,Tiago Cardoso Mendes,0.2917303290809087,0.35555555555555557,0.4159158815041168
80,Atlético Madrid,18241,4,5,Error,Error,2.107142857142857,3,5,3.625,Adrián López Álvarez,0.33032179644322623,0.32142857142857145,0.47842261904761907
81,Atlético Madrid,18241,5,10,Error,Error,1.9666666666666666,2,5,3.1666666666666665,Juan Francisco Torres Belén,0.3390565555202447,0.4,0.5477716727716728
82,Atlético Madrid,18241,6,12,Error,Error,0.7777777777777778,Error,Error,Error,Error,0.19430519595669976,0.15555555555555556,0.22428571428571428
83,Atlético Madrid,18241,7,0,Error,Error,0.9761904761904762,Error,Error,Error,Error,0.2820139792118977,0.19047619047619047,0
84,Atlético Madrid,18241,8,15,Error,Error,2.022222222222222,Error,Error,Error,Error,0.23880471865430636,0.18888888888888888,0.14108187134502922
85,Atlético Madrid,18241,9,11,Error,Error,1.3555555555555556,Error,Error,Error,Error,0.22854497765296097,0.17777777777777778,0.1718888888888889
86,Atlético Madrid,18241,10,5,Error,Error,0.55,Error,Error,Error,Error,Error,0.2,0
87,Borussia Dortmund,18240,0,41,Error,Error,1.3272727272727274,2,2,2,Jakub Błaszczykowski,0.29398387465900505,0.6727272727272727,0.7049999878350217
88,Borussia Dortmund,18240,1,11,Error,Error,2.0090909090909093,2,5,3.3636363636363638,Neven Subotić,0.2601240926671046,0.3090909090909091,0.35447971361284053
89,Borussia Dortmund,18240,2,6,Error,Error,2.0636363636363635,2,5,3.272727272727273,Neven Subotić,0.27347503140043034,0.2727272727272727,0.301542317331791
90,Borussia Dortmund,18240,3,17,Error,Error,2.1545454545454548,2,4,3.3636363636363638,Roman Weidenfeller,0.26706670238118735,0.2727272727272727,0.36733366049155525
